firm_id,house_effect,firm,date,Biden,Sanders,Bloomberg,Warren,Buttigieg,Klobuchar,Gabbard,Steyer,Patrick,Yang,Harris,Booker,ORourke,Castro,Bullock,Williamson,Bennet,deBlasio,Delaney
2,0.1,CNN,1/16/2020,24,27,5,14,11,4,0,2,0,4,NA,NA,NA,NA,NA,NA,0,NA,0
9,-0.7,Monmouth,1/16/2020,30,23,9,14,6,5,1,1,0,3,NA,NA,NA,,NA,NA,1,NA,0
11,0.5,Morning Consult,1/15/2020,29,24,10,15,8,3,2,3,0,4,NA,NA,NA,NA,NA,NA,1,NA,1
8,0.7,LA Times/USC,1/15/2020,34,18,9,16,9,3,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,-0.3,SurveyUSA,1/14/2020,32,21,9,14,9,2,2,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,0.9,The Hill/HarrisX,1/13/2020,29,19,7,11,4,3,NA,3,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA
3,0.3,Economist/YouGov,1/11/2020,27,20,5,19,7,3,2,1,0,3,NA,2,NA,NA,NA,NA,0,NA,NA
12,0.5,Quinnipiac,1/8/2020,25,19,6,16,8,4,1,1,1,5,NA,1,NA,NA,NA,NA,1,NA,NA
13,1.3,Reuters/Ipsos,1/8/2020,21,21,7,14,7,1,1,3,0,3,NA,NA,NA,NA,NA,1,1,NA,NA
11,0.5,Morning Consult,1/6/2020,29,23,8,14,8,3,2,4,0,5,NA,2,NA,NA,NA,NA,1,NA,1
3,0.3,Economist/YouGov,1/5/2020,27,20,3,22,7,3,3,2,0,3,NA,1,NA,NA,NA,0,0,NA,0
7,-1.4,IBD/TIPP,1/3/2020,26,15,7,20,9,3,1,2,0,3,NA,0,NA,NA,NA,NA,0,NA,NA
11,0.5,Morning Consult,12/30/2019,32,21,6,14,8,3,1,3,0,4,NA,3,NA,1,NA,1,1,NA,1
3,0.3,Economist/YouGov,12/28/2019,29,19,3,18,8,4,3,2,0,3,NA,2,NA,1,NA,0,0,NA,0
6,0.9,Harvard-Harris,12/27/2019,30,17,7,12,7,2,1,2,NA,3,NA,2,NA,1,NA,0,NA,NA,1
15,0.9,The Hill/HarrisX,12/27/2019,28,16,11,11,6,2,2,2,0,2,NA,2,NA,2,NA,1,NA,NA,2
11,0.5,Morning Consult,12/23/2019,32,21,6,14,8,3,1,3,0,4,NA,3,NA,1,NA,1,1,NA,1
3,0.3,Economist/YouGov,12/22/2019,30,17,4,19,7,5,2,1,0,3,NA,2,NA,1,NA,1,0,NA,1
11,0.5,Morning Consult,12/20/2019,31,21,6,15,9,3,2,3,0,5,NA,3,NA,1,NA,1,1,NA,1
4,-1.8,Emerson,12/15/2019,32,25,3,12,8,2,4,2,0,6,NA,2,NA,0,NA,0,0,NA,1
3,0.3,Economist/YouGov,12/14/2019,29,19,4,17,7,4,3,2,0,3,NA,2,NA,2,NA,1,1,NA,1
10,1.4,NBC News/Wall St. Jrnl,12/14/2019,28,21,4,18,9,5,2,1,0,3,NA,2,NA,1,NA,NA,0,NA,0
15,0.9,The Hill/HarrisX,12/13/2019,29,13,5,13,5,3,1,3,2,3,NA,2,NA,4,NA,NA,1,NA,2
2,0.1,CNN,12/12/2019,26,20,5,16,8,3,1,1,0.5,3,NA,3,NA,2,NA,0.5,0,NA,1
12,0.5,Quinnipiac,12/11/2019,30,16,7,17,9,3,1,1,0,3,NA,2,NA,1,NA,0,0,NA,0
16,2,USA Today/Suffolk,12/10/2019,23,14,6,13,8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,0,NPR/PBS/Marist,12/9/2019,24,22,4,17,13,4,1,0,0.5,5,NA,4,NA,1,NA,0,1,NA,NA
5,0.9,FOX News,12/8/2019,30,20,5,13,7,5,3,1,0,3,NA,2,NA,1,NA,1,1,NA,NA
3,0.3,Economist/YouGov,12/7/2019,26,16,4,21,11,2,3,1,0,3,NA,3,NA,1,NA,0,1,NA,0
7,-1.4,IBD/TIPP,12/5/2019,26,18,5,14,9,2,NA,2,0,2,NA,3,NA,NA,NA,NA,NA,NA,NA
9,-0.7,Monmouth,12/4/2019,26,21,5,17,8,4,0,1,1,3,NA,2,NA,1,NA,0.5,0,NA,0
12,0.5,Quinnipiac,12/4/2019,29,17,5,15,9,3,2,1,0,4,NA,1,NA,1,NA,1,1,NA,1
11,0.5,Politico/Morning Consult,12/2/2019,30,22,6,16,9,2,2,3,0,4,NA,3,NA,1,NA,1,1,NA,1
3,0.3,Economist/YouGov,12/1/2019,27,13,3,18,12,3,2,0,1,2,4,3,NA,1,0,1,1,NA,0
15,0.9,The Hill/HarrisX,11/30/2019,31,15,6,10,9,2,0,2,1,2,2,1,NA,2,1,0,1,NA,1
6,0.9,Harvard-Harris,11/27/2019,29,16,7,13,8,2,1,2,NA,3,5,1,NA,0,NA,0,NA,NA,1
3,0.3,Economist/YouGov,11/24/2019,23,15,3,17,12,3,2,1,1,3,4,2,NA,1,1,1,0,NA,1
2,0.1,CNN,11/21/2019,28,17,3,14,11,2,0,3,0,3,3,2,NA,1,0,0,0,NA,0
11,0.5,Politico/Morning Consult,11/21/2019,30,21,2,15,9,2,2,2,0,4,5,2,NA,1,1,1,1,NA,1
12,0.5,Quinnipiac,11/21/2019,24,13,3,14,16,3,1,0,0,2,3,2,NA,2,0,0,2,NA,0
14,-0.3,SurveyUSA,11/20/2019,30,17,3,15,11,2,1,2,0,4,5,2,NA,1,NA,NA,NA,NA,0
3,0.3,Economist/YouGov,11/17/2019,30,12,NA,22,9,2,3,1,0,2,4,1,NA,0,1,0,1,NA,0
4,-1.8,Emerson,11/17/2019,27,27,1,20,7,1,2,2,0,4,3,1,NA,1,0,0,0,NA,0
15,0.9,The Hill/HarrisX,11/16/2019,30,18,3,15,7,1,1,1,NA,2,4,1,NA,2,0,0,1,NA,2
11,0.5,Politico/Morning Consult,11/11/2019,32,20,3,17,8,2,2,1,0,3,5,2,NA,1,1,1,1,NA,1
3,0.3,Economist/YouGov,11/10/2019,23,17,NA,26,9,2,2,1,NA,4,5,1,NA,2,1,0,0,NA,1
11,0.5,Politico/Morning Consult,11/4/2019,32,20,NA,19,8,2,1,1,NA,3,5,3,NA,1,1,1,1,NA,1
3,0.3,Economist/YouGov,11/3/2019,26,14,NA,25,8,2,3,1,NA,1,6,2,NA,3,1,1,0,NA,1
15,0.9,The Hill/HarrisX,11/1/2019,26,14,NA,15,6,3,1,1,NA,1,6,2,NA,2,1,1,1,NA,1
9,-0.7,Monmouth,10/30/2019,23,20,NA,23,9,2,0.5,1,NA,3,5,3,NA,0,0.5,0.5,0.5,NA,0
6,0.9,Harvard-Harris,10/29/2019,33,18,NA,15,4,3,0,1,NA,2,5,3,2,0,NA,1,NA,NA,0
11,0.5,Politico/Morning Consult,10/28/2019,32,20,NA,20,7,2,2,1,NA,3,5,2,NA,1,1,1,1,NA,1
1,1.5,ABC News/Wash Post,10/27/2019,28,17,NA,23,9,2,2,1,NA,2,2,2,1,1,0,0,1,NA,1
3,0.3,Economist/YouGov,10/27/2019,27,14,NA,23,7,2,2,1,NA,3,4,1,4,1,0,0,1,NA,1
5,0.9,FOX News,10/27/2019,31,19,NA,21,7,2,2,1,NA,3,3,2,2,0,0,0,0,NA,0
10,1.4,NBC News/Wall St. Jrnl,10/27/2019,27,19,NA,23,6,5,2,0,NA,3,4,2,1,1,NA,NA,1,NA,1
7,-1.4,IBD/TIPP,10/24/2019,29,13,NA,23,7,3,0,1,NA,3,2,1,1,1,NA,NA,0,NA,NA
16,2,USA Today/Suffolk,10/23/2019,26,13,NA,17,10,2,4,1,NA,3,3,2,0,0,NA,NA,0,NA,NA
8,0.7,LA Times/USC,10/21/2019,28,13,NA,16,6,2,1,1,NA,2,4,1,2,0,0,1,0,NA,0
11,0.5,Politico/Morning Consult,10/21/2019,32,20,NA,20,7,2,2,1,NA,3,6,2,2,1,0,1,1,NA,1
15,0.9,The Hill/HarrisX,10/21/2019,27,14,NA,19,6,1,0,1,NA,2,5,1,3,1,0,0,1,NA,0
3,0.3,Economist/YouGov,10/20/2019,24,16,NA,23,8,2,2,1,NA,3,5,3,2,1,0,1,1,NA,0
4,-1.8,Emerson,10/18/2019,27,25,NA,21,6,1,3,1,NA,4,5,3,2,0,0,0,0,NA,0
2,0.1,CNN,10/17/2019,34,16,NA,19,6,3,1,1,NA,2,6,1,3,0,0,0,1,NA,0
12,0.5,Quinnipiac,10/17/2019,21,15,NA,28,10,3,1,1,NA,1,5,1,1,1,0,0,0,NA,0
11,0.5,Politico/Morning Consult,10/16/2019,31,18,NA,21,6,2,1,2,NA,3,7,2,2,1,1,1,1,NA,1
11,0.5,Politico/Morning Consult,10/16/2019,30,18,NA,21,6,2,1,1,NA,3,6,3,3,1,1,1,1,NA,1
14,-0.3,SurveyUSA,10/15/2019,32,17,NA,22,5,2,1,1,NA,2,7,2,2,1,NA,NA,NA,NA,NA
3,0.3,Economist/YouGov,10/13/2019,25,13,NA,29,7,2,3,1,NA,2,5,1,2,0,0,0,1,NA,1
12,0.5,Quinnipiac,10/11/2019,27,11,NA,30,8,2,0,2,NA,2,4,2,2,1,0,0,1,NA,0
11,0.5,Politico/Morning Consult,10/7/2019,32,19,NA,21,5,1,1,1,NA,3,6,2,3,1,1,1,1,NA,1
3,0.3,Economist/YouGov,10/6/2019,25,14,NA,29,5,1,1,1,NA,3,5,1,1,1,2,0,0,NA,1
5,0.9,FOX News,10/6/2019,32,17,NA,22,4,2,1,1,NA,2,5,2,3,1,NA,1,1,NA,NA
15,0.9,The Hill/HarrisX,10/6/2019,31,17,NA,15,4,2,1,2,NA,2,6,1,4,1,0,1,1,NA,0
12,0.5,Quinnipiac,10/4/2019,26,16,NA,29,4,2,0,0,NA,3,3,2,1,1,NA,0,1,NA,NA
11,0.5,Politico/Morning Consult,9/30/2019,33,19,NA,21,5,1,1,1,NA,3,6,2,3,1,1,1,1,NA,1
3,0.3,Economist/YouGov,9/28/2019,22,13,NA,28,7,1,2,1,NA,3,5,2,3,1,0,0,2,NA,0
7,-1.4,IBD/TIPP,9/26/2019,26,10,NA,27,7,1,1,0,NA,3,3,0,2,1,NA,0,0,NA,NA
9,-0.7,Monmouth,9/23/2019,25,15,NA,28,5,1,0,1,NA,2,5,1,1,1,0.5,2,0,NA,0.5
11,0.5,Politico/Morning Consult,9/23/2019,32,19,NA,21,5,1,1,1,NA,3,6,3,3,1,NA,1,1,NA,1
3,0.3,Economist/YouGov,9/22/2019,26,16,NA,27,6,1,1,0,NA,2,4,0,2,0,1,0,1,NA,1
6,0.9,Harvard-Harris,9/22/2019,28,16,NA,17,3,1,1,2,NA,3,6,2,3,2,NA,0,NA,NA,0
4,-1.8,Emerson,9/21/2019,25,22,NA,23,6,0,1,0,NA,8,4,2,1,2,0,1,0,NA,0
15,0.9,The Hill/HarrisX,9/20/2019,31,16,NA,14,5,2,1,1,NA,2,5,2,4,3,0,0,1,NA,1
12,0.5,Quinnipiac,9/19/2019,25,16,NA,27,7,2,1,0,NA,2,3,0,2,2,NA,0,1,NA,0
11,0.5,Politico/Morning Consult,9/16/2019,32,19,NA,20,5,2,1,1,NA,3,6,3,3,1,NA,1,1,NA,1
5,0.9,FOX News,9/15/2019,29,18,NA,16,5,2,0,1,NA,2,7,3,4,0,NA,0,1,NA,1
3,0.3,Economist/YouGov,9/14/2019,26,14,NA,21,9,1,2,0,NA,3,6,2,3,1,NA,1,1,NA,0
10,1.4,NBC News/Wall St. Jrnl,9/13/2019,31,14,NA,25,7,2,1,1,NA,4,5,2,1,1,3,0,1,NA,1
11,0.5,Politico/Morning Consult,9/13/2019,32,20,NA,18,5,2,1,1,NA,3,6,3,4,1,1,1,0,NA,1
14,-0.3,SurveyUSA,9/13/2019,33,17,NA,19,5,1,NA,NA,NA,3,6,4,4,1,NA,NA,NA,NA,NA
13,1.3,Reuters/Ipsos,9/9/2019,22,16,NA,11,4,1,1,1,NA,3,4,3,2,1,NA,0,0,NA,NA
3,0.3,Economist/YouGov,9/8/2019,26,16,NA,26,6,1,1,0,NA,2,6,2,1,1,NA,1,1,0,0
15,0.9,The Hill/HarrisX,9/7/2019,27,15,NA,12,4,1,1,1,NA,5,7,3,3,2,NA,0,1,NA,1
2,0.1,CNN,9/5/2019,24,17,NA,18,6,1,2,1,NA,2,8,2,5,1,NA,1,1,NA,0
1,1.5,ABC News/Wash Post,9/2/2019,29,19,NA,18,4,2,2,1,NA,3,7,1,3,0,NA,0,0,1,0
11,0.5,Politico/Morning Consult,9/2/2019,33,21,NA,16,5,1,1,1,NA,3,7,3,3,1,NA,1,1,1,1
3,0.3,Economist/YouGov,9/1/2019,26,14,NA,22,5,0,3,0,NA,3,5,1,1,1,0,1,1,2,1
6,0.9,Harvard-Harris,8/26/2019,32,16,NA,13,4,1,1,1,NA,2,7,3,4,1,NA,0,NA,NA,1
11,0.5,Politico/Morning Consult,8/26/2019,32,20,NA,16,5,1,1,1,NA,3,8,3,3,1,1,1,1,0,1
3,0.3,Economist/YouGov,8/24/2019,25,14,NA,21,5,1,2,1,NA,2,8,2,2,1,1,1,1,1,0
4,-1.8,Emerson,8/24/2019,31,24,NA,15,3,1,3,0,NA,4,10,3,3,1,0,0,0,0,0
15,0.9,The Hill/HarrisX,8/23/2019,30,17,NA,14,4,1,1,1,NA,2,4,2,3,1,2,1,1,0,0
7,-1.4,IBD/TIPP,8/22/2019,28,12,NA,24,5,1,0,0,NA,1,6,4,0,1,0,NA,0,0,0
12,0.5,Quinnipiac,8/21/2019,32,15,NA,19,5,1,1,0,NA,3,7,1,1,0,1,1,1,1,0
16,2,USA Today/Suffolk,8/20/2019,32,12,NA,14,6,0,0,0,NA,3,6,2,2,1,0,0,0,0,0
11,0.5,Politico/Morning Consult,8/19/2019,33,20,NA,15,5,1,1,1,NA,2,8,3,3,1,1,1,1,1,1
3,0.3,Economist/YouGov,8/17/2019,22,19,NA,18,8,0,2,0,NA,1,8,2,3,1,0,0,0,1,0
9,-0.7,Monmouth,8/16/2019,19,20,NA,20,4,1,1,0,NA,3,8,4,2,2,0,2,0,1,0
2,0.1,CNN,8/15/2019,29,15,NA,14,5,1,2,1,NA,1,5,2,3,2,1,0,0,0,0
8,0.7,LA Times/USC,8/12/2019,28,13,NA,11,4,1,1,0,NA,2,8,2,3,0,1,0,0,0,0
11,0.5,Politico/Morning Consult,8/12/2019,31,20,NA,15,5,1,1,1,NA,3,9,3,3,1,1,1,0,0,1
5,0.9,FOX News,8/11/2019,31,10,NA,20,3,2,1,1,NA,3,8,3,2,1,0,1,0,1,1
3,0.3,Economist/YouGov,8/10/2019,23,16,NA,20,6,1,2,1,NA,2,8,2,5,1,0,1,1,1,0
15,0.9,The Hill/HarrisX,8/9/2019,31,16,NA,10,4,2,1,1,NA,1,7,1,4,2,2,2,0,0,1
11,0.5,Politico/Morning Consult,8/5/2019,33,20,NA,14,5,1,1,1,NA,2,9,3,3,1,1,1,1,0,1
3,0.3,Economist/YouGov,8/3/2019,25,13,NA,18,7,1,3,1,NA,2,8,2,2,1,1,0,1,1,1
11,0.5,Politico/Morning Consult,8/1/2019,33,19,NA,15,6,1,1,1,NA,2,9,3,3,1,1,1,0,0,1
11,0.5,Politico/Morning Consult,8/1/2019,32,18,NA,15,6,1,1,1,NA,2,10,3,3,1,0,1,0,0,1
12,0.5,Quinnipiac,8/1/2019,32,14,NA,21,5,1,1,0,NA,1,7,2,2,1,0,0,0,0,0
13,1.3,Reuters/Ipsos,8/1/2019,25,20,NA,10,5,1,1,0,NA,2,7,3,2,1,0,0,0,1,0
14,-0.3,SurveyUSA,8/1/2019,33,20,NA,19,8,1,0,0,NA,0,9,1,1,0,0,0,0,0,0
6,0.9,Harvard-Harris,7/31/2019,34,17,NA,8,4,1,0,1,NA,1,9,2,3,1,NA,0,NA,NA,0
3,0.3,Economist/YouGov,7/27/2019,26,13,NA,20,6,0,2,0,NA,1,11,3,2,2,0,0,0,0,1
4,-1.8,Emerson,7/27/2019,33,20,NA,14,6,0,1,2,NA,2,11,0,4,1,0,0,0,1,1
15,0.9,The Hill/HarrisX,7/27/2019,34,20,NA,12,5,1,0,1,NA,1,9,1,4,1,1,0,0,0,1
7,-1.4,IBD/TIPP,7/25/2019,30,12,NA,17,6,1,1,NA,NA,0,11,2,1,0,0,0,0,0,0
12,0.5,Quinnipiac,7/25/2019,34,11,NA,15,6,1,1,0,NA,2,12,1,2,0,0,1,0,0,0
11,0.5,Politico/Morning Consult,7/22/2019,33,18,NA,13,5,1,1,1,NA,2,12,3,3,1,0,1,1,1,1
3,0.3,Economist/YouGov,7/21/2019,25,13,NA,18,7,1,2,1,NA,2,9,2,2,2,1,0,0,1,0
5,0.9,FOX News,7/21/2019,33,15,NA,12,5,3,0,1,NA,3,10,2,2,1,0,0,0,1,1
11,0.5,Politico/Morning Consult,7/15/2019,33,18,NA,14,5,1,1,1,NA,2,13,2,3,1,1,1,0,1,1
3,0.3,Economist/YouGov,7/14/2019,25,12,NA,16,6,1,1,1,NA,0,11,3,2,0,1,0,1,2,0
8,0.7,LA Times/USC,7/12/2019,28,11,NA,10,5,1,0,0,NA,1,10,1,3,1,0,0,0,1,0
15,0.9,The Hill/HarrisX,7/12/2019,29,16,NA,9,1,1,1,0,NA,0,11,1,3,1,1,0,0,1,1
11,0.5,Politico/Morning Consult,7/8/2019,32,19,NA,14,5,1,1,NA,NA,2,13,2,3,1,1,0,1,0,1
3,0.3,Economist/YouGov,7/7/2019,22,12,NA,18,6,1,3,NA,NA,1,15,2,1,2,1,0,0,1,0
10,1.4,NBC News/Wall St. Jrnl,7/7/2019,26,13,NA,19,7,1,0,NA,NA,2,13,1,2,1,0,1,1,0,1
4,-1.8,Emerson,7/6/2019,30,15,NA,15,5,1,2,NA,NA,3,15,2,4,0,1,0,1,0,0
11,0.5,Politico/Morning Consult,7/1/2019,31,19,NA,13,6,1,1,NA,NA,1,14,2,3,1,1,1,0,1,1
3,0.3,Economist/YouGov,6/30/2019,23,9,NA,19,8,0,1,NA,NA,1,15,2,2,1,1,0,1,0,0
15,0.9,The Hill/HarrisX,6/29/2019,33,15,NA,9,6,0,1,NA,NA,1,11,2,4,1,1,0,1,0,0
1,1.5,ABC News/Wash Post,6/28/2019,30,19,NA,12,4,2,1,NA,NA,0,13,1,2,3,0,1,1,0,0
2,0.1,CNN,6/28/2019,22,14,NA,15,4,2,1,NA,NA,1,17,3,3,1,0,0,0,1,0
12,0.5,Quinnipiac,6/28/2019,22,13,NA,14,4,1,1,NA,NA,1,20,3,1,1,0,0,0,0,0
13,1.3,Reuters/Ipsos,6/28/2019,24,17,NA,11,4,1,0,NA,NA,3,11,1,3,1,1,0,0,0,0
11,0.5,Politico/Morning Consult,6/27/2019,33,19,NA,12,6,1,1,NA,NA,2,12,3,2,1,1,0,0,1,1
6,0.9,Harvard-Harris,6/26/2019,34,15,NA,11,3,1,2,NA,NA,1,9,3,2,1,NA,0,NA,NA,1
3,0.3,Economist/YouGov,6/22/2019,25,15,NA,19,6,0,3,NA,NA,1,7,1,3,1,1,0,1,1,0
4,-1.8,Emerson,6/21/2019,34,27,NA,14,6,1,0,NA,NA,1,7,3,1,0,0,0,0,0,0
11,0.5,Politico/Morning Consult,6/17/2019,38,19,NA,13,7,1,1,NA,NA,2,6,3,4,1,1,0,1,1,1
3,0.3,Economist/YouGov,6/16/2019,26,12,NA,16,9,1,1,NA,NA,1,7,2,3,1,1,0,1,1,1
15,0.9,The Hill/HarrisX,6/14/2019,35,13,NA,7,4,1,0,NA,NA,0,5,3,6,2,1,0,1,0,1
9,-0.7,Monmouth,6/12/2019,32,14,NA,15,5,1,1,NA,NA,2,8,2,3,0,0,1,0,1,0
16,2,USA Today/Suffolk,6/11/2019,30,15,NA,10,9,0,0,NA,NA,1,8,2,2,1,1,0,0,0,0
11,0.5,Politico/Morning Consult,6/10/2019,38,19,NA,11,7,1,1,NA,NA,1,7,3,4,1,0,1,1,0,1
3,0.3,Economist/YouGov,6/9/2019,27,12,NA,16,8,0,0,NA,NA,1,7,2,3,1,0,0,1,1,0
5,0.9,FOX News,6/9/2019,32,13,NA,9,8,2,1,NA,NA,2,8,3,4,1,0,0,0,0,1
12,0.5,Quinnipiac,6/6/2019,30,19,NA,15,8,1,0,NA,NA,1,7,1,3,0,0,0,0,0,0
11,0.5,Politico/Morning Consult,6/3/2019,37,19,NA,11,7,2,1,NA,NA,1,7,3,4,1,1,0,1,0,1
3,0.3,Economist/YouGov,6/2/2019,27,15,NA,12,10,1,1,NA,NA,1,9,2,2,0,1,0,0,2,1
15,0.9,The Hill/HarrisX,6/1/2019,35,16,NA,5,8,1,0,NA,NA,0,4,3,4,0,0,1,1,NA,0
6,0.9,Harvard-Harris,5/29/2019,36,17,NA,5,5,0,0,NA,NA,1,8,3,4,1,NA,0,NA,NA,1
2,0.1,CNN,5/28/2019,32,18,NA,7,5,2,1,NA,NA,1,8,3,5,2,0,0,1,0,0
11,0.5,Politico/Morning Consult,5/27/2019,38,19,NA,10,7,1,1,NA,NA,1,7,3,4,1,1,1,1,1,1
11,0.5,Politico/Morning Consult,5/20/2019,38,20,NA,9,7,1,1,NA,NA,1,7,3,4,1,1,1,1,0,1
15,0.9,The Hill/HarrisX,5/17/2019,33,14,NA,8,6,1,0,NA,NA,1,6,1,5,1,0,0,0,0,0
9,-0.7,Monmouth,5/16/2019,33,15,NA,10,6,3,1,NA,NA,1,11,1,4,1,0,1,0,1,0
12,0.5,Quinnipiac,5/16/2019,35,16,NA,13,5,2,1,NA,NA,1,8,3,2,1,0,0,0,0,0
11,0.5,Politico/Morning Consult,5/13/2019,39,19,NA,9,6,1,1,NA,NA,1,8,3,4,1,1,0,1,1,1
5,0.9,FOX News,5/11/2019,35,17,NA,9,6,2,1,NA,NA,1,5,3,4,2,0,1,0,NA,1
4,-1.8,Emerson,5/10/2019,33,25,NA,10,8,1,1,NA,NA,1,10,1,3,2,NA,0,1,NA,0
11,0.5,Politico/Morning Consult,5/6/2019,39,19,NA,8,6,2,1,NA,NA,1,8,3,5,1,0,NA,1,0,0
15,0.9,The Hill/HarrisX,5/3/2019,46,14,NA,7,8,0,1,NA,NA,1,6,3,3,1,NA,1,1,NA,1
6,0.9,Harvard-Harris,4/30/2019,44,14,NA,5,2,2,0,NA,NA,0,9,3,3,0,NA,0,NA,NA,1
11,0.5,Politico/Morning Consult,4/29/2019,40,19,NA,8,6,2,1,NA,NA,1,7,3,5,1,1,NA,NA,NA,1
12,0.5,Quinnipiac,4/26/2019,38,11,NA,12,10,1,0,NA,NA,1,8,2,5,1,NA,0,NA,NA,0
2,0.1,CNN,4/25/2019,39,15,NA,8,7,2,2,NA,NA,1,5,2,6,1,0,1,0,0,0
11,0.5,Politico/Morning Consult,4/22/2019,36,22,NA,9,8,2,1,NA,NA,2,7,3,5,1,1,NA,NA,NA,1
11,0.5,Politico/Morning Consult,4/15/2019,30,24,NA,7,9,2,1,NA,NA,2,8,4,6,1,0,NA,NA,1,0
4,-1.8,Emerson,4/11/2019,24,29,NA,7,9,1,1,NA,NA,3,8,2,8,3,NA,0,NA,NA,1
9,-0.7,Monmouth,4/11/2019,27,20,NA,6,8,1,0,NA,NA,0,8,2,4,0,0,0,0,NA,0
11,0.5,Politico/Morning Consult,4/8/2019,31,23,NA,7,7,2,1,NA,NA,1,9,4,8,1,1,NA,NA,NA,1
15,0.9,The Hill/HarrisX,4/5/2019,36,19,NA,6,4,2,0,NA,NA,1,9,6,7,1,NA,NA,NA,NA,0
11,0.5,Politico/Morning Consult,4/1/2019,32,23,NA,7,5,2,1,NA,NA,1,9,4,8,1,1,NA,NA,NA,1
